tconst,averageRating,numVotes
tt0035423,6.4,83564
tt0062336,6.4,161
tt0069049,6.7,7193
tt0079644,7.3,35
tt0088751,5.2,319
tt0089067,6.7,41
tt0092960,6.6,11
tt0093119,2.9,1117
tt0094859,7.9,82
tt0096056,5.6,813
tt0100275,6.4,332
tt0102362,5.3,16
tt0108549,7.5,32
tt0110476,6.5,613
tt0112912,5.1,15
tt0113026,5.5,1368
tt0113092,3.4,815
tt0114447,4.2,152
tt0114722,6.7,35
tt0115686,6.4,30
tt0115937,7.7,13
tt0116391,6.3,242
tt0116628,6.3,62
tt0116748,3.8,264
tt0116991,7.2,70
tt0117743,6.8,59
tt0118141,5.4,906
tt0118578,3.6,780
tt0118589,2.4,23441
tt0118652,4.9,1818
tt0118694,8.1,144289
tt0118710,6.3,154
tt0118852,7.1,4263
tt0118926,6.9,6616
tt0119004,5.6,4400
tt0119231,4.4,185
tt0119273,5.3,8477
tt0119495,5.0,149
tt0119727,5.2,101
tt0119806,6.0,42
tt0119866,5.5,87
tt0119966,6.6,8
tt0119970,3.7,122
tt0119980,6.5,75
tt0120117,4.7,466
tt0120166,4.3,590
tt0120202,6.7,21259
tt0120263,7.5,18913
tt0120467,5.2,4104
tt0120485,6.2,63
tt0120607,4.8,77
tt0120624,6.6,169
tt0120626,7.1,3137
tt0120630,7.1,188036
tt0120667,5.7,325000
tt0120673,6.1,35
tt0120679,7.3,88677
tt0120681,6.8,153244
tt0120698,4.4,358
tt0120733,5.5,348
tt0120737,8.8,1793416
tt0120753,5.7,21517
tt0120755,6.1,333687
tt0120804,6.6,265065
tt0120807,4.9,316
tt0120824,6.7,32890
tt0120903,7.4,602547
tt0120912,6.1,366381
tt0120913,6.6,60873
tt0120917,7.4,197456
tt0121164,7.3,264154
tt0121765,6.6,686798
tt0121766,7.6,761369
tt0122161,4.8,379
tt0122247,5.2,770
tt0122459,6.9,21008
tt0123003,6.0,1527
tt0123055,3.7,135
tt0123581,4.8,71
tt0124889,5.3,110
tt0125022,6.2,54091
tt0126029,7.9,657896
tt0126899,2.8,107
tt0127349,6.5,7198
tt0128154,7.7,20
tt0128158,4.7,103
tt0128165,4.0,73
tt0128216,3.3,291
tt0130623,6.4,59350
tt0131597,4.8,24
tt0131704,4.2,20242
tt0132078,6.1,237
tt0132245,4.6,40985
tt0132885,4.6,383
tt0132910,4.9,11490
tt0133063,7.7,329
tt0133152,5.7,217814
tt0133240,7.1,114368
tt0133752,6.5,105
tt0134084,5.6,139963
tt0134630,6.1,9578
tt0134847,7.1,236217
tt0134983,4.8,17923
tt0135707,6.3,382
tt0135991,4.0,150
tt0136517,3.0,118
tt0137204,8.7,290
tt0138288,6.4,81
